ID тесту | Модуль системи | Короткий опис тесту | Передумови | Кроки виконання | Очікуваний результат | Пріоритет (Must / Should) | Статус
TC-017 | Result | Обчислення приблизної вартості (ТЗ 3.1) | План успішно згенеровано | 1. Переглянути блок "Вартість". | Система виводить загальну суму ремонту/меблів на основі даних. | Must | Not tested
TC-018 | AI Движок | Робота DesignChatAI (Негативний сценарій) | План згенеровано, відкрита вкладка чату | 1. Залишити поле вводу порожнім.2. Натиснути "Відправити". | Повідомлення не відправляється, історія чату не оновлюється, помилок немає. | Should | Not tested
TC-019 | AI Движок | Робота DesignChatAI (Позитивний сценарій) | План згенеровано, відкрита вкладка чату | 1. Ввести "Додай рослину".2. Натиснути "Відправити". | Чат-бот відповідає релевантно, система оновлює план (або дає пораду) відповідно до запиту. | Must | Not tested
TC-020 | Продуктивність | Час запуску програми ≤ 5 секунд (NFR-002) | Кеш браузера очищено | 1. Ввести URL програми (Vercel Hosting).2. Засікти час до появи Welcome Screen. | Застосунок повністю завантажується та стає інтерактивним (FCP/TTI) менше ніж за 5 секунд. | Must | Not tested
TC-021 | UX/UI | Швидкість досягнення результату (NFR-006) | Користувач авторизований | 1. Створити проєкт -> Намалювати 4 стіни -> Обрати 3 меблі -> Згенерувати. | Весь шлях (від кліку "Новий проєкт" до отримання плану) займає не більше 12 кліків. | Should | Not tested
TC-022 | Інфраструктура | Підтримка Windows 10+ (NFR-004) | ОС Windows 10/11, браузери Chrome/Edge | 1. Запустити систему.2. Пройти повний цикл генерації кімнати. | Усі елементи (Canvas, React Hooks) працюють коректно, візуальних чи функціональних багів немає. | Must | Not tested
TC-023 | Граничні випадки | Генерація для кімнати неможливо малого розміру | Екран Draw | 1. Намалювати кімнату площею < 2 кв.м.2. Вибрати велике ліжко.3. Натиснути "Генерувати". | AI Движок повертає попередження "Недостатньо місця для розміщення обраних меблів". | Must | Not tested
TC-024 | База Даних | Витримка БД на 1000+ проєктів (NFR-007) | Тестове середовище (або скрипт навантаження) | 1. Згенерувати 1000 записів проєктів для одного користувача.2. Відкрити сторінку "Мої проєкти". | Сторінка завантажується без зависань (до 2 сек), пагінація або скролінг працюють плавно. | Must | Not tested
TC-025 | UI/UX | Адаптивність Canvas на мобільних екранах | Застосунок відкрито на пристрої з шириною 375px | 1. Перейти на екран малювання (Draw).2. Спробувати взаємодіяти з Canvas. | Canvas масштабується коректно, не виходить за межі екрану, панелі інструментів доступні. | Should | Not tested
TC-026 | Frontend | Перевірка SPA маршрутизації (Vite) | Відкрито екран Result | 1. Натиснути кнопку "Назад" у браузері. | Система коректно повертає користувача на екран Configure без повного перезавантаження сторінки. | Must | Not tested
---
